event_id,student_id
40,00101292
40,00102954
40,00101037
40,00103269
40,00100841
40,00103814
40,00101652
40,00103089
40,00101549
40,00102066
40,00103347
41,00102954
41,00101037
41,00103269
41,00102779
41,00100372
41,00103377
41,00103814
41,00101652
41,00103347
41,00104912
42,00102954
42,00101292
42,00104079
42,00103347
42,00103459
42,00102176
42,00102779
42,00103461
42,00100841
42,00103089
42,00102066
42,00103269
42,00103064
42,00100973
42,00102318
42,00104912
42,00103652
42,00103377
42,00103814
42,00101652
42,00101549
42,00100372
45,00102861
45,00101204
45,00101555
45,00101693
45,00103798
45,00103506
45,00101252
45,00102840
45,00102067
45,00105243
45,00101274
45,00101711
45,00103072
45,00103646
45,00100477
45,00100701
45,00105129
45,00101246
45,00104131
45,00102133
45,00101122
45,00102580
45,00100461
45,00101925
45,00103947
45,00103014
45,00100415
45,00102631
46,00101122
46,00102067
46,00101873
46,00102580
46,00101204
46,00100701
46,00100168
46,00100200
46,00100615
46,00103014
46,00103506
46,00101071
46,00100411
46,00101246
46,00103072
46,00102840
47,00103248
47,00100618
47,00100477
47,00101903
47,00100701
47,00101555
47,00102853
47,00105243
47,00101693
47,00105129
47,00103513
47,00100415
47,00101246
47,00103072
47,00102840
47,00103601
47,00104131
48,00103248
48,00100269
48,00102684
48,00100477
48,00100168
48,00102580
48,00101204
48,00101925
48,00104683
48,00103393
48,00104620
48,00103506
48,00100415
48,00100411
48,00102394
48,00104131
48,00103646
49,00102853
49,00101903
49,00101555
49,00101204
49,00104305
49,00101693
49,00101237
49,00103798
49,00102603
49,00102718
49,00102840
49,00100615
49,00102067
49,00102495
49,00103513
49,00101274
49,00104145
49,00104414
49,00103646
49,00103248
49,00100618
49,00100269
49,00103908
49,00103885
49,00101246
49,00101729
49,00101290
49,00102133
49,00102684
49,00100461
49,00103572
49,00102577
49,00103014
49,00100415
49,00101440
49,00100411
49,00103203
49,00104683
50,00103158
50,00102861
50,00100813
50,00102840
50,00100615
50,00102067
50,00104579
50,00103393
50,00103513
50,00101711
50,00104414
50,00100269
50,00103269
50,00101702
50,00101071
50,00101290
50,00101873
50,00101122
50,00101906
50,00103729
50,00104075
50,00104906
50,00104683
51,00101555
51,00101925
51,00103133
51,00101274
51,00104505
51,00102840
51,00104683
52,00103158
52,00103832
52,00102314
52,00105040
52,00102840
52,00104731
52,00100615
52,00103755
52,00102495
52,00101711
52,00100878
52,00103072
52,00103646
52,00100618
52,00100701
52,00100505
52,00101246
52,00101729
52,00101290
52,00104566
52,00104131
52,00102684
52,00103826
52,00103572
52,00104996
52,00103736
52,00102631
52,00103203
52,00104683
53,00103158
53,00101415
53,00101328
53,00102603
53,00104125
53,00103258
53,00103755
53,00105243
53,00101274
53,00101711
53,00101300
53,00103646
53,00103191
53,00100701
53,00105129
53,00103885
53,00101071
53,00102684
53,00101122
53,00101925
53,00103572
53,00104918
53,00103947
53,00104798
54,00102001
54,00104771
54,00100477
54,00103729
54,00103269
54,00101550
54,00105099
54,00103506
54,00101071
54,00101440
54,00104717
54,00104414
54,00101290
54,00103601
55,00102001
55,00103832
55,00102853
55,00102861
55,00101415
55,00101662
55,00101053
55,00104731
55,00102067
55,00101711
55,00104414
55,00104101
55,00104035
55,00100461
55,00103572
55,00104479
55,00104155
55,00104906
55,00101455
56,00100196
56,00103158
56,00104155
56,00101555
56,00100877
56,00103172
56,00102495
56,00101246
56,00103619
56,00101517
56,00104101
56,00101711
56,00101300
56,00101290
57,00104771
57,00100727
57,00103832
57,00102853
57,00101204
57,00103006
57,00100865
57,00103297
57,00101252
57,00102840
57,00101715
57,00100128
57,00104717
57,00100477
57,00101482
57,00100584
57,00100505
57,00104101
57,00101246
57,00102631
57,00103203
57,00101455
58,00101555
58,00101415
58,00102314
58,00105040
58,00102110
58,00105243
58,00104298
58,00102491
58,00103601
58,00103425
58,00100584
58,00102502
58,00104334
58,00105129
58,00101702
58,00103181
58,00104505
58,00102326
58,00101873
58,00103826
58,00103778
58,00104479
58,00100411
58,00104906
59,00103826
59,00103006
59,00101925
59,00102821
59,00103584
59,00100505
59,00103798
59,00104620
59,00102530
59,00103736
59,00104125
59,00103072
60,00104906
60,00102861
60,00103172
60,00100128
60,00101517
60,00103072
60,00105260
60,00103226
60,00101406
60,00103390
60,00103269
60,00100461
60,00102577
60,00103491
60,00104479
60,00101440
60,00104155
60,00103203
60,00100056
61,00102001
61,00103158
61,00101903
61,00101550
61,00102603
61,00104125
